date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:43:47	130012/130012	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:23%20GMT	http://sonamedia.vn/quay-phim-chup-anh/chup-anh-cuoi/page/3/	C:/My%20Web%20Sites/media/sonamedia.vn/quay-phim-chup-anh/chup-anh-cuoi/page/3/index.html	(from http://sonamedia.vn/quay-phim-chup-anh/chup-anh-cuoi/)
14:43:47	129836/129836	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:23%20GMT	http://sonamedia.vn/quay-phim-chup-anh/chup-anh-cuoi/page/4/	C:/My%20Web%20Sites/media/sonamedia.vn/quay-phim-chup-anh/chup-anh-cuoi/page/4/index.html	(from http://sonamedia.vn/quay-phim-chup-anh/chup-anh-cuoi/)
14:43:47	4286/4286	---MCZ	200	added ('OK')	application/json	date:Sat,%2017%20Dec%202022%2007:43:23%20GMT	http://sonamedia.vn/wp-json/wp/v2/categories/77	C:/My%20Web%20Sites/media/sonamedia.vn/wp-json/wp/v2/categories/77.json	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-online/)
14:43:47	114063/114063	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:24%20GMT	http://sonamedia.vn/quay-phim-chup-anh/chup-anh-cuoi/page/5/	C:/My%20Web%20Sites/media/sonamedia.vn/quay-phim-chup-anh/chup-anh-cuoi/page/5/index.html	(from http://sonamedia.vn/quay-phim-chup-anh/chup-anh-cuoi/)
14:43:47	73867/73867	---MC-	200	added ('OK')	application/rss+xml	etag:%2234350ad9aeb3a37981beda43753a0627%22	http://sonamedia.vn/quay-phim-chup-anh/chup-anh-hoi-nghi/feed/	C:/My%20Web%20Sites/media/sonamedia.vn/quay-phim-chup-anh/chup-anh-hoi-nghi/feed/index.html	(from http://sonamedia.vn/quay-phim-chup-anh/chup-anh-hoi-nghi/)
14:43:48	126285/126285	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:25%20GMT	http://sonamedia.vn/kinh-nghiem-chup-anh-su-kien.html/	C:/My%20Web%20Sites/media/sonamedia.vn/kinh-nghiem-chup-anh-su-kien.html/index.html	(from http://sonamedia.vn/quay-phim-chup-anh/chup-anh-hoi-nghi/)
14:43:48	132079/132079	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:25%20GMT	http://sonamedia.vn/dich-vu-quay-phim-su-kien-hoi-thao.html/	C:/My%20Web%20Sites/media/sonamedia.vn/dich-vu-quay-phim-su-kien-hoi-thao.html/index.html	(from http://sonamedia.vn/quay-phim-chup-anh/chup-anh-hoi-nghi/)
14:43:48	4431/4431	---MCZ	200	added ('OK')	application/json	date:Sat,%2017%20Dec%202022%2007:43:25%20GMT	http://sonamedia.vn/wp-json/wp/v2/categories/75	C:/My%20Web%20Sites/media/sonamedia.vn/wp-json/wp/v2/categories/75.json	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-truyen-hinh/)
14:43:48	12463/12463	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f5f1-30af%22	http://sonamedia.vn/wp-content/uploads/2020/07/dich-vu-booking-quang-cao-chuyen-nghiep-1-300x154.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2020/07/dich-vu-booking-quang-cao-chuyen-nghiep-1-300x154.jpg	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-truyen-hinh/)
14:43:48	127935/127935	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202022%2007:43:25%20GMT	http://sonamedia.vn/quang-cao-audio/page/2/	C:/My%20Web%20Sites/media/sonamedia.vn/quang-cao-audio/page/2/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:49	19605/19605	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f5f1-4c95%22	http://sonamedia.vn/wp-content/uploads/2020/07/dich-vu-booking-quang-cao-300x270.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2020/07/dich-vu-booking-quang-cao-300x270.jpg	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-truyen-hinh/)
14:43:49	102997/102997	---MC-	200	added ('OK')	application/rss+xml	etag:%2234350ad9aeb3a37981beda43753a0627%22	http://sonamedia.vn/quang-cao-audio/feed/	C:/My%20Web%20Sites/media/sonamedia.vn/quang-cao-audio/feed/index.html	(from http://sonamedia.vn/quang-cao-audio/)
14:43:49	88092/88092	---M--	200	added ('OK')	image/png	etag:%225fd6f4f5-1581c%22	http://sonamedia.vn/wp-content/uploads/2020/06/dich-vu-booking-tvc-quang-cao-tai-da-nang-300x199.png	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2020/06/dich-vu-booking-tvc-quang-cao-tai-da-nang-300x199.png	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-truyen-hinh/)
14:43:49	9698/9698	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f4f7-25e2%22	http://sonamedia.vn/wp-content/uploads/2020/06/dich-vu-booking-tvc-quang-cao-tai-hai-phong-3-300x169.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2020/06/dich-vu-booking-tvc-quang-cao-tai-hai-phong-3-300x169.jpg	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-truyen-hinh/)
14:43:49	17843/17843	---M--	200	added ('OK')	image/jpeg	etag:%225fd6f51b-45b3%22	http://sonamedia.vn/wp-content/uploads/2020/06/dich-vu-quay-phim-sitcom-tai-tp-hcm-2-300x199.jpg	C:/My%20Web%20Sites/media/sonamedia.vn/wp-content/uploads/2020/06/dich-vu-quay-phim-sitcom-tai-tp-hcm-2-300x199.jpg	(from http://sonamedia.vn/dich-vu-quang-cao/quang-cao-truyen-hinh/)
